artist,title,album,decade,year,date,lyric
Metallica,Wherever I May Roam,Metallica,90s,1991,1991-08-12,and the road becomes my bride and the road becomes my bride i have stripped of all but pride so in her i do confide and she keeps me satisfied gives me all i need and with dust in throat i crave only knowledge will i save to the game you stay a slave roamer wanderer nomad vagabond call me what you will yeah   oh but i'll take my time anywhere free to speak my mind anywhere and i'll redefine anywhere anywhere i roam where i lay my head is home yeah   and the earth becomes my throne and the earth becomes my throne i adapt to the unknown under wandering stars i've grown by myself but not alone i ask no one and my ties are severed clean the less i have the more i gain off the beaten path i reign rover wanderer nomad vagabond call me what you will yeah you will   but i'll take my time anywhere i'm free to speak my mind anywhere and ill never mind anywhere anywhere i roam where i lay my head is home yeah yeah      but i'll take my time anywhere i'm free to speak my mind and i'll take my time anywhere anywhere i roam where i lay my head is home that's right      but i'll take my time anywhere i'm free to speak my mind anywhere and i'll redefine anywhere anywhere i roam where i lay my head is home carved upon my stone my body lies but still i roam yeah yeah   wherever i may roam wherever i may roam roam wherever i may roam wherever i may roam yeah wherever i may wander wander wander wherever i may roam yeah yeah wherever i may roam yeah yeah wherever i may roam wherever i may roam wherever i may roam wherever i may roam
Metallica,...And Justice for All,...And Justice for All,80s,1988,1988-08-25,halls of justice painted green money talking power wolves beset your door hear them stalking soon you'll please their appetite they devour hammer of justice crushes you overpower   the ultimate in vanity exploiting their supremacy i can't believe the things you say i can't believe i can't believe the price you pay nothing can save you justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   apathy their stepping stone so unfeeling hidden deep animosity so deceiving through your eyes their light burns hoping to find inquisition sinking you with prying minds   the ultimate in vanity exploiting their supremacy i can't believe the things you say i can't believe i can't believe the price you pay nothing can save you justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   break   lady justice has been raped truth assassin rolls of red tape seal your lips now you're done in their money tips her scales again make your deal just what is truth i cannot tell cannot feel   the ultimate in vanity exploiting their supremacy i can't believe the things you say i can't believe i can't believe the price we pay nothing can save us justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   seeking no truth winning is all find it so grim so true so real
Metallica,Battery,Master of Puppets,80s,1986,1986-03-03,lashing out the action returning the reaction weak are ripped and torn away hypnotizing power crushing all that cower battery is here to stay   smashing through the boundaries lunacy has found me cannot stop the battery pounding out aggression turns into obsession cannot kill the battery cannot kill the family battery is found in me battery battery   crushing all deceivers mashing nonbelievers neverending potency hungry violenceseeker feeding off the weaker breeding on insanity   smashing through the boundaries lunacy has found me cannot stop the battery pounding out aggression turns into obsession cannot kill the battery cannot kill the family battery is found in me battery battery      circle of destruction hammer comes crushing powerhouse of energy whipping up a fury dominating flurry we create the battery   smashing through the boundaries lunacy has found me cannot stop the battery pounding out aggression turns into obsession cannot kill the battery cannot kill the family battery is found in me battery battery battery battery
Metallica,"Atlas, Rise!",Hardwired…To Self-Destruct (Deluxe Edition),10s,2016,2016-10-31,bitterness and burden curses rest on thee solitaire and sorrow all eternity save the earth and claim perfection deem the mass and blame rejection hold the pose feign perception grudges break your back  pre all you bear all you carry all you bear place it right on right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise how does it feel on your own bound by the world all alone crushed under heavy skies atlas rise   crucify and witness circling the sun bastardized in ruin what have you become blame the world and blame your maker wish 'em to the undertaker crown yourself the other savior so you carry on  pre all you bear all you carry all you bear place it right on right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise how does it feel on your own bound by the world all alone crushed under heavy skies crushed under heavy skies atlas rise     masquerade as maker heavy is the crown beaten down and broken drama wears you down overload the martyr stumbles hit the ground and heaven crumbles all alone thy fears shall humble swallow all your pride  pre all you bear all you carry all you bear place it right on right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise how does it feel on your own bound by the world all alone crushed under heavy skies crushed under heavy skies atlas rise
Metallica,Blackened,...And Justice for All,80s,1988,1988-08-25,blackened is the end winter it will send throwing all you see into obscurity death of mother earth never her rebirth evolution's end never will it mend never   fire to begin whipping dance of the dead blackened is the end to begin whipping dance of the dead color our world blackened   blistering of earth terminate its worth deadly nicotine kills what might have been callous frigid chill nothing left to kill never seen before breathing nevermore never   fire to begin whipping dance of the dead blackened is the end to begin whipping dance of the dead color our world blackened  post blackened   opposition opposition contradiction contradiction premonition premonition compromise agitation agitation violation violation mutilation mutilation planet dies darkest color blistered earth true death of life termination termination expiration expiration cancellation cancellation human race expectation expectation liberation liberation population population laid to waste see our mother put to death see our mother die      smoldering decay take her breath away millions of our years in minutes disappears darkening in vain decadence remains all is said and done never is the sun never   fire to begin whipping dance of the dead blackened is the end to begin whipping dance of the dead fire is the outcome of hypocrisy darkest potency in the exit of humanity color our world blackened  post blackened
Metallica,The Unforgiven II,Reload,90s,1997,1997-11-18,lay beside me tell me what they've done speak the words i want to hear to make my demons run the door is locked now but it's open if you're true if you can understand the me then i can understand the you  lay beside me under wicked sky through black of day dark of night we share this paralyze the door cracks open but there's no sun shining through black heart scarring darker still but there's no sun shining through no there's no sun shining through no there's no sun shining   what i've felt what i've known turn the pages turn the stone behind the door should i open it for you yeah what i've felt what i've known sick and tired i stand alone could you be there because i'm the one who waits for you or are you unforgiven too   come lay beside me this won't hurt i swear she loves me not she loves me still but she'll never love again she lay beside me but she'll be there when i'm gone black heart scarring darker still yes she'll be there when i'm gone yes she'll be there when i'm gone dead sure she'll be there   what i've felt what i've known turn the pages turn the stone behind the door should i open it for you yeah what i've felt what i've known sick and tired i stand alone could you be there because i'm the one who waits for you or are you unforgiven too      lay beside me tell me what i've done the door is closed so are your eyes but now i see the sun now i see the sun yes now i see it   what i've felt what i've known turn the pages turn the stone behind the door should i open it for you yeah what i've felt what i've known so sick and tired i stand alone could you be there because i'm the one who waits the one who waits for you oh   what i've felt what i've known turn the pages turn the stone behind the door should i open it for you so i dub thee unforgiven   what i've felt oh what i've known  i take this key never free and i bury it never me in you because you're unforgiven too   never free never me because you're unforgiven too oh oh oh
Metallica,Turn the Page,Garage Inc.,90s,1998,1998-11-24,on a long and lonesome highway east of omaha you can listen to the engines moaning out its one old song you can think about the woman or the girl you knew the night before but your thoughts will soon be wandering the way they always do when you are riding sixteen hours and there's nothing much to do you don't feel much like riding you just wish the trip was through   but here i am on the road again there i am up on the stage there i go playing the star again there i go turn the page   so you walk into this restaurant strung out from the road and you feel the eyes upon you as you're shaking off the cold you pretend it doesn't bother you but you just want to explode and most times you can't hear them talk other times you can all the same old cliches is it woman is it man and you always seem outnumbered you don't dare make a stand make your stand   but here i am on the road again there i am up on the stage here i go playing the star again there i go turn the page   out there in the spotlight you're a million miles away every ounce of energy you try to give away and the sweat pours out your body like the music that you play later in the evening as you lie awake in bed with the echoes of the amplifiers ringing in your head you smoke the day's last cigarette remembering what she said what she said   but here i am on the road again there i am up on the stage here i go playing the star again there i go turn the page   there i go turn that page there i go yeah there i go yeah there i go yeah here i go there i go there i go and i'm gone
Metallica,Seek & Destroy,Kill ‘Em All,80s,1983,1983-07-25,alright   we're scanning the scene in the city tonight we're looking for you to start up a fight there's an evil feeling in our brains but it's nothing new you know it drives us insane  pre running on our way hiding you will pay dying one thousand deaths running on our way hiding you will pay dying one thousand deaths   searching seek and destroy searching seek and destroy searching seek and destroy searching seek and destroy   there is no escape and that's for sure this is the end we won't take any more say goodbye to the world you live in you've always been taking and now you're giving  pre running on our way hiding you will pay dying one thousand deaths running on our way hiding you will pay dying one thousand deaths   searching seek and destroy searching seek and destroy searching seek and destroy searching seek and destroy      our brains are on fire with the feeling to kill and it won't go away until our dreams are fulfilled there is only one thing on our minds don't try running away 'cause you're the one we will find  pre running on our way hiding you will pay dying one thousand deaths running on our way hiding you will pay dying one thousand deaths   searching seek and destroy searching seek and destroy searching seek and destroy searching seek and destroy aha ha ha ha
Metallica,The Four Horsemen,Kill ‘Em All,80s,1983,1983-07-25,by the last breath of the fourth winds blow better raise your ears the sound of hooves knock at your door lock up your wife and children now it's time to wield the blade for now you've got some company   the horsemen are drawing nearer on the leather steeds they ride they've come to take your life on through the dead of night with the four horsemen ride or choose your fate and die aw yeah yeah   you've been dying since the day you were born you know it's all been planned the quartet of deliverance rides a sinner once a sinner twice no need for confession now 'cause now you have got the fight of your life   the horsemen are drawing nearer on the leather steeds they ride they've come to take your life on through the dead of night with the four horsemen ride or choose your fate and die aw yeah yeah   time has taken its toll on you the lines that crack your face famine your body it has torn through withered in every place pestilence for what you've had to endure and what you have put others through death deliverance for you for sure now there's nothing you can do       so gather round young warriors now and saddle up your steeds killing scores with demon swords now's the death of doers of wrong swing the judgment hammer down safely inside armor blood guts and sweat   the horsemen are drawing nearer on the leather steeds they ride they've come to take your life on through the dead of night with the four horsemen ride or choose your fate and die aw yeah yeah
Metallica,Ride the Lightning,Ride the Lightning,80s,1984,1984-07-27,guilty as charged but damn it ain't right there's someone else controlling me death in the air strapped in the electric chair this can't be happening to me  pre who made you god to say i'll take your life from you   flash before my eyes now it's time to die burning in my brain i can feel the flame   wait for the sign  to flick the switch of death it's the beginning of the end sweat chilling cold as i watch death unfold consciousness my only friend  pre my fingers grip with fear what am i doing here   flash before my eyes now it's time to die burning in my brain i can feel the flame   someone help me oh please god help me they're trying to take it all away i don't want to die      someone help me oh please god help me they're trying to take it all away i don't want to die   time moving slow the minutes seem like hours the final curtain call i see how true is this just get it over with if this is true just let it be  pre wakened by a horrid scream freed from this frightening dream   flash before my eyes now it's time to die burning in my brain i can feel the flame
